nox_value,facility_id,wind_speed,wind_direction,day,month,year,average_temp_K_,average_solarrad_Wm2_,average_RH_perc_,average_cloud_fraction_,average_no2_kgm2_,average_no2flux_kgm2s_
1864.006079,3,24859.36202,238.1397359,13,6,2023,14042,-937,74.890854,0.1387377194,2.58E-06,8.21E-10
3810.557644,2,12566.7092,201.0512593,14,6,2023,26931,10035,85.37646,0.1529117336,3.10E-06,3.42E-10
3960.687637,2,26738.03936,267.7815894,17,6,2023,26786,2389,81.61423,0.1270393673,1.72E-06,1.23E-09
1481.973666,1,23903.17981,255.6655193,18,6,2023,26064,24716,75.467155,0.1312713635,2.58E-06,8.63E-10
3965.540556,2,24054.64084,254.5823518,18,6,2023,23685,24664,76.86504,0.05810062857,2.00E-06,8.03E-10
2653.513421,4,21749.59551,269.1148273,18,6,2023,13849,13891,77.13237,0.2032552656,1.13E-06,-1.03E-09
20287.1688,6,14340.3069,251.4968239,18,6,2023,21747,15496,72.74248,0.04877883942,1.37E-06,2.01E-10
8580.736795,7,23454.9392,262.0056653,18,6,2023,28587,24329,73.92593,0.07712826706,1.42E-06,5.23E-10
1444.300024,1,26992.17133,205.963189,19,6,2023,24346,18999,73.349365,0.1631107288,1.79E-06,3.62E-10
3983.599031,2,27723.46697,200.9774173,19,6,2023,22031,19095,74.913826,0.1365029895,1.76E-06,7.37E-10
20884.68909,6,16419.00158,234.2964079,19,6,2023,21971,26654,67.81755,0.1336552198,2.14E-06,1.29E-09
1466.470217,1,26588.99255,182.1079368,20,6,2023,15711,5797,70.04867,0.1473555126,1.20E-06,1.37E-10
4126.911835,2,27950.3573,180.7441391,20,6,2023,13736,7108,71.22735,0.1526871261,1.03E-06,3.34E-10
4394.717683,3,16797.93562,269.1301916,20,6,2023,16857,19010,63.08869,0.04695123001,1.86E-06,4.25E-11
2672.748344,4,20229.28768,239.0226428,20,6,2023,11923,14903,67.46481,0.1339648345,9.89E-07,-9.61E-10
23329.18806,6,8126.692624,194.5235861,20,6,2023,12395,-13181,71.09235,0.09577942175,1.54E-06,6.42E-10
8838.706301,7,21718.38581,186.4479846,20,6,2023,16706,3966,70.81724,0.1398746483,6.02E-07,-7.19E-11
5267.19856,8,38368.46009,229.0454431,20,6,2023,-5905,30128,84.135475,0.05281456585,1.34E-06,5.45E-10
1681.810622,1,23717.695,182.2133681,21,6,2023,14731,15563,71.30159,0.233537954,1.33E-06,3.50E-10
3983.452757,2,25014.15137,180.5497367,21,6,2023,13083,16388,72.05296,0.2039931639,1.16E-06,3.49E-10
4405.072695,3,18097.65081,260.7437862,21,6,2023,12557,26093,67.37963,0.1362669841,2.50E-06,8.86E-10
2741.077959,4,20783.68391,246.4593351,21,6,2023,7971,26436,72.1405,0.1388541998,1.36E-06,-6.78E-10
23278.8182,6,6304.823947,188.7765627,21,6,2023,8470,15737,77.07327,0.1364454792,2.29E-06,4.36E-10
8374.977814,7,19192.24158,185.1087495,21,6,2023,14952,13570,73.04312,0.1423037317,1.07E-06,1.31E-10
5263.8278,8,35656.82459,240.6959909,21,6,2023,-7172,31238,84.150055,0.05485519205,1.78E-06,2.95E-10
1442.601416,1,14531.46741,201.9720062,23,6,2023,25715,22115,67.64142,0.1587749556,2.41E-06,5.71E-10
3752.875344,2,14615.3652,204.5133853,23,6,2023,23190,22635,69.27959,0.09888687389,1.17E-06,7.39E-10
3172.663183,4,22236.47061,262.5349325,23,6,2023,14394,20772,74.726776,0.2141349953,1.52E-06,5.34E-11
4132.1295,5,28557.07088,234.3869874,23,6,2023,22161,22793,65.38361,0.2084224143,1.75E-06,2.25E-10
20430.85551,6,27960.76782,218.560281,23,6,2023,22315,25211,69.7778,0.09977959546,2.87E-06,1.28E-09
7945.552083,7,15869.11897,196.8351536,23,6,2023,27393,21402,67.640305,0.1196842742,1.40E-06,3.26E-10
1615.505005,1,16307.33191,224.8807478,24,6,2023,24344,19887,63.598263,0.1778509622,1.64E-06,6.18E-10
3822.147369,2,18983.12366,231.6051033,24,6,2023,21271,19266,65.47719,0.1244115426,4.77E-07,6.33E-10
4498.845054,3,32523.72453,208.1338342,24,6,2023,16631,26540,65.49894,0.1190727245,3.92E-06,1.70E-10
2936.822959,4,28680.14121,217.0496955,24,6,2023,10779,25293,71.89131,0.2080822151,2.51E-06,2.14E-10
4536.577209,5,19834.94474,239.6005082,24,6,2023,18033,27095,66.6118,0.2301309132,2.11E-06,-3.50E-10
21743.69665,6,16707.49054,249.643037,24,6,2023,19343,27710,68.623886,0.1383575279,2.73E-06,1.87E-09
8048.196178,7,12479.03141,185.3336827,24,6,2023,26888,22219,62.931324,0.1981762379,1.16E-06,1.77E-10
1574.02203,1,5271.182031,186.6234754,25,6,2023,26497,16186,59.840786,0.1509384137,6.03E-06,-1.59E-09
3780.942698,2,8892.795399,218.9385319,25,6,2023,24053,14346,61.429916,0.1531011565,3.92E-06,3.36E-10
5316.756759,5,38122.0126,216.9164893,25,6,2023,15056,9744,67.719345,0.1760237953,7.79E-07,-1.90E-10
19716.75582,6,40708.82877,216.9380184,25,6,2023,17841,6484,68.19443,0.09835327745,2.33E-06,2.63E-10
8028.535528,7,13647.46577,266.2987483,25,6,2023,27441,22865,60.105576,0.1488972906,3.72E-06,-2.25E-11
5317.027805,0,9889.632754,194.0446743,26,6,2023,11260,11971,73.61971,0.03641954547,1.23E-06,2.55E-11
5124.021503,0,16844.03449,217.3672101,29,6,2023,11636,14930,73.2953,0.1147851584,4.14E-06,4.88E-10
1728.415273,1,18541.26439,261.5923908,29,6,2023,16500,17343,70.06338,0.1633193622,3.83E-06,1.14E-09
4009.395301,2,21924.47101,259.7269426,29,6,2023,14150,16637,71.878174,0.1152505901,1.76E-06,3.79E-10
3295.387216,4,28048.79395,210.6071251,29,6,2023,12448,26083,73.82441,0.1821576723,2.62E-06,1.09E-09
5357.880425,5,29757.83342,200.52382,29,6,2023,10707,20384,77.51635,0.1929244822,4.69E-06,2.72E-10
3148.864402,4,16287.50748,258.848743,30,6,2023,13296,13759,72.10211,0.1995614727,1.50E-06,-3.70E-10
8885.506314,7,25301.9605,240.4278566,30,6,2023,16196,7299,71.965996,0.1392969642,1.47E-06,5.07E-10
